account,total_pnl,avg_leverage,trade_count,win_rate,leverage_segment,frequency_segment,performance_segment
0x083384f897ee0f19899168e3b1bec365f52a9012,1359427.6400000001,1.0,2712,47.03999845905626,Low (1-3x),Frequent,Medium Win Rate
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,5392.77,1.0,1730,45.08172311606424,Low (1-3x),Frequent,Medium Win Rate
0x271b280974205ca63b716753467d5a371de622ab,30179.74,1.0,1140,56.13112223937109,Low (1-3x),Frequent,Medium Win Rate
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,41329.57,1.0,4306,46.024373637380585,Low (1-3x),Frequent,Medium Win Rate
0x2c229d22b100a7beb69122eed721cee9b24011dd,76323.73,1.0,896,46.95316117799842,Low (1-3x),Frequent,Medium Win Rate
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-53887.65,1.0,375,17.705458592633136,Low (1-3x),Frequent,Low Win Rate
0x39cef799f8b69da1995852eea189df24eb5cae3c,-57641.469999999994,1.0,2315,32.76951807045599,Low (1-3x),Frequent,Low Win Rate
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,9503.47,1.0,139,48.583333333333336,Low (1-3x),Frequent,Medium Win Rate
0x420ab45e0bd8863569a5efbb9c05d91f40624641,31838.579999999998,1.0,155,43.559718969555036,Low (1-3x),Frequent,Medium Win Rate
0x430f09841d65beb3f27765503d0f850b8bce7713,28410.86,1.0,286,7.497013142174432,Low (1-3x),Frequent,Low Win Rate
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,7321.18,1.0,3548,33.57987523200489,Low (1-3x),Frequent,Low Win Rate
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,404855.24,1.0,2274,32.99136330918372,Low (1-3x),Frequent,Low Win Rate
0x4f93fead39b70a1824f981a54d4e55b278e9f760,98019.96999999999,1.0,2938,29.33998321588578,Low (1-3x),Frequent,Low Win Rate
0x513b8629fe877bb581bf244e326a047b249c4ff1,100482.60999999999,1.0,2555,20.538495678449525,Low (1-3x),Frequent,Low Win Rate
0x6d6a4b953f202f8df5bed40692e7fd865318264a,4836.0199999999995,1.0,407,33.41732949864438,Low (1-3x),Frequent,Low Win Rate
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,156030.87,1.0,737,23.485915492957748,Low (1-3x),Frequent,Low Win Rate
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,201716.02,1.0,472,15.608870967741936,Low (1-3x),Frequent,Low Win Rate
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,169336.68,1.0,3333,69.24867397773946,Low (1-3x),Frequent,High Win Rate
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,10003.539999999999,1.0,1388,43.25572968787813,Low (1-3x),Frequent,Medium Win Rate
0x8170715b3b381dffb7062c0298972d4727a0a63b,52384.78,1.0,1242,23.46273952602439,Low (1-3x),Frequent,Low Win Rate
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,10601.07,1.0,1137,15.503623399643983,Low (1-3x),Frequent,Low Win Rate
0x8477e447846c758f5a675856001ea72298fd9cb5,8227.800000000001,1.0,5419,29.984478228768058,Low (1-3x),Frequent,Low Win Rate
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,15671.869999999999,1.0,391,23.227027497389493,Low (1-3x),Frequent,Low Win Rate
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,15271.990000000002,1.0,4277,28.039835643931337,Low (1-3x),Frequent,Low Win Rate
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,24741.589999999997,1.0,269,31.542709232096637,Low (1-3x),Frequent,Low Win Rate
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,29677.26,1.0,334,27.190097259062775,Low (1-3x),Frequent,Low Win Rate
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,9721.01,1.0,60,40.625,Low (1-3x),Frequent,Medium Win Rate
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1674353.3299999998,1.0,7754,28.40584721819242,Low (1-3x),Frequent,Low Win Rate
0xb899e522b5715391ae1d4f137653e7906c5e2115,28861.45,1.0,3982,46.3630401603451,Low (1-3x),Frequent,Medium Win Rate
0xbaaaf6571ab7d571043ff1e313a9609a10637864,817764.3200000001,1.0,10072,47.3505390212894,Low (1-3x),Frequent,Medium Win Rate
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,95012.28,1.0,1458,28.01981928761951,Low (1-3x),Frequent,Low Win Rate
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,273197.01,1.0,11124,45.33050675080775,Low (1-3x),Frequent,Medium Win Rate
